Team,TYDS/G,PYDS/G,RYDS/G,PTS/G
Houston Texans,265.7,174,91.7,17
Cleveland Browns,271.3,170,101.3,23
Los Angeles Chargers,275.3,168,106.9,21
Green Bay Packers,284.8,187,98.3,19
Denver Broncos,286.4,193,93.1,18
Seattle Seahawks,289.4,201,88.8,18
New England Patriots,296.4,207,89.5,19
Buffalo Bills,304.5,163,141.3,22
Kansas City Chiefs,306.7,206,100.9,19
Minnesota Vikings,306.8,178,128.4,23
Jacksonville Jaguars,312.5,230,82.4,21
New Orleans Saints,314.6,188,126.9,25
Los Angeles Rams,315.1,207,107.8,18
Detroit Lions,316.2,213,103.7,23
Atlanta Falcons,318.9,188,131.2,23
Las Vegas Raiders,323.3,213,110.8,26
New York Jets,327.3,196,131.2,26
Carolina Panthers,331.1,212,118.7,23
Arizona Cardinals,332.2,220,112.6,25
San Francisco 49ers,335.8,232,103.8,21
Indianapolis Colts,344.5,246,98.3,21
Tampa Bay Buccaneers,344.9,248,97.4,25
Miami Dolphins,345.2,208,137.5,24
Tennessee Titans,345.8,218,127.6,27
Philadelphia Eagles,347.2,218,128.9,21
Baltimore Ravens,350.4,232,118.4,24
Chicago Bears,359,225,133.8,26
Pittsburgh Steelers,365.1,247,117.7,24
Dallas Cowboys,376.2,252,124.7,29
New York Giants,385.8,232,154.2,28
Washington Commanders,388.3,255,133.3,27
Cincinnati Bengals,410,257,153.3,31