Rank,Team,Stadium
1,Arizona Cardinals,State Farm Stadium
2,Atlanta Falcons,Mercedes-Benz Stadium
3,Baltimore Ravens,M&T Bank Stadium
4,Buffalo Bills,Highmark Stadium
5,Carolina Panthers,Bank of America Stadium
6,Chicago Bears,Soldier Field
7,Cincinnati Bengals,Paycor Stadium
8,Cleveland Browns,Cleveland Browns Stadium
9,Dallas Cowboys,AT&T Stadium
10,Denver Broncos,Empower Field at Mile High
11,Detroit Lions,Fort Field
12,Green Bay Packers,Lambeau Field
13,Houston Texans,NRG Stadium
14,Indianapolis Colts,Lucas Oil Stadium
15,Jacksonville Jaguars,EverBank Stadium
16,Kansas City Chiefs,GEHA Field at Arrowhead Stadium
17,Las Vegas Raiders,Allegiant Stadium
18,Los Angeles Chargers,SoFi Stadium
19,Los Angeles Rams,SoFi Stadium
20,Miami Dolphins,Hard Rock Stadium
21,Minnesota Vikings,U.S. Bank Stadium
22,New England Patriots,Gillette Stadium
23,New Orleans Saints,Caesars Superdome
24,New York Giants,MetLife Stadium
25,New York Jets,MetLife Stadium
26,Philadelphia Eagles,Lincoln Financial Field
27,Pittsburgh Steelers,Acrisure Stadium
28,San Francisco 49ers,Levi's Stadium
29,Seattle Seahawks,Lumen Field
30,Tampa Bay Buccaneers,Raymond James Stadium
31,Tennessee Titans,Nissan Stadium
32,Washington Commanders,Commanders Field